symbol,buypoint,Text
THRM,44.09,Making new bid to clear 44.09 assending-base entry.
FB,66.57,Forming cup with handle with 66.57 buy point.
ACT,216.8,Just above 216.80 buy point of cup-with-handle
ALXN,172.6,"Cup-with-handle base, 172.6 buy point; support at 10-week."
UA,62.49,Climbs right side of base with 62.49 buy point
SAVE,64.06,"Just below 64.06 buy point in late stage, cup-with-handle"
EPAM,46.09,37% deep base resets base count; handle has 46.09 buy point.
JAZZ,149.57,Nearly 4% above 149.57 double-bottom entry.
ARRS,33.97,Trying to clear 3-weeks-tight pattern with 33.97 buy point.
STZ,84.58,3% above 84.58 buy point after clearing cup w/ handle.
BWLD,159.91,3rd-stage base forms with potential entry at 159.91
VIPS,175.26,2% above late-stage cup w/handle entry of 175.26
CMG,623,"Climbing right side of cup-typ base, possible entry at 623."
WAB,82.52,"Rises 1% past 82.52 cup buy point, but volume dull."
GILD,83.8,Forms 1st stage cup-with-handle base; 83.80 buy point.
PKG,71.96,Near 71.96 late-stage cup with handle entry.
MANH,36.98,Forms big double-bottom base with 36.98 buy point.
